VaccinationDate,age_group,first_dose,second_dose
3/23/2021,80-89,26,89
3/23/2021,40-49,381,1178
3/23/2021,90+,7,18
3/23/2021,60-69,175,290
3/23/2021,30-39,557,1752
3/23/2021,70-79,54,172
3/23/2021,50-59,272,643
3/23/2021,0-19,310,823
3/23/2021,20-29,820,2189
3/24/2021,70-79,301,1244
3/24/2021,60-69,543,2324
3/24/2021,40-49,1627,6896
3/24/2021,30-39,2327,11357
3/24/2021,90+,43,140
3/24/2021,80-89,179,662
3/24/2021,20-29,3495,14372
3/24/2021,0-19,1367,5289
3/24/2021,50-59,905,4065
3/25/2021,70-79,269,764
3/25/2021,40-49,1484,5407
3/25/2021,90+,45,96
